id,domain,portal_system,portal_subdomain,confidence,detection_method,validated,validation_website,error,timestamp,created_at,updated_at
69,rentseattle.com,appfolio,rpa.appfolio.com,high,homepage_fetch,1,http://www.rentseattle.com,,2026-02-01T20:47:00.789113,2026-02-25 06:54:01,2026-02-25 06:54:01
70,unwindluxuryvacations.com,guesty,unwind.guestyowners.com,high,homepage_fetch,0,,,2026-02-01T20:47:04.012602,2026-02-25 06:54:01,2026-02-25 06:54:01
72,rent-lbk.com,appfolio,rentlbk.appfolio.com,high,subdomain_probe,1,http://rent-lbk.com,,2026-02-01T20:46:54.536109,2026-02-25 06:54:01,2026-02-25 06:54:01
74,rpmsouthland.com,appfolio,rpmca082.appfolio.com,high,secondary_page:/tenants/,1,http://www.rpmsouthland.com,,2026-02-01T20:47:34.027494,2026-02-25 06:54:01,2026-02-25 06:54:01
76,rpmvesta.com,appfolio,rpmga011.appfolio.com,high,secondary_page:/tenants/,1,http://www.rpmvesta.com,,2026-02-01T20:48:38.358115,2026-02-25 06:54:01,2026-02-25 06:54:01
77,uptownrents.com,rentmanager,uptownrp.twa.rentmanager.com,high,homepage_fetch,0,,,2026-02-01T20:48:52.832042,2026-02-25 06:54:01,2026-02-25 06:54:01
78,stonelinkpm.com,appfolio,blackstone.appfolio.com,high,homepage_fetch,1,http://www.stonelinkpm.com,,2026-02-01T20:49:02.414414,2026-02-25 06:54:01,2026-02-25 06:54:01
79,rentupm.com,rentmanager,uprop.twa.rentmanager.com,high,homepage_fetch,0,,,2026-02-01T20:49:12.703574,2026-02-25 06:54:01,2026-02-25 06:54:01
80,rentwithheirloom.com,appfolio,heirloompm.appfolio.com,high,homepage_fetch,1,http://www.rentwithheirloom.com/,,2026-02-01T20:49:14.387571,2026-02-25 06:54:01,2026-02-25 06:54:01
81,rpmabq.com,appfolio,rpmnm003.appfolio.com,high,secondary_page:/tenants/,1,http://www.rpmabq.com,,2026-02-01T20:49:38.228329,2026-02-25 06:54:01,2026-02-25 06:54:01
82,rentbottomline.com,propertyware,app.propertyware.com,high,homepage_fetch,0,,,2026-02-01T20:49:43.309732,2026-02-25 06:54:01,2026-02-25 06:54:01
83,zenithpro.com,appfolio,zenithproperties.appfolio.com,high,homepage_fetch,1,http://www.zenithpro.com,,2026-02-01T20:50:05.701263,2026-02-25 06:54:01,2026-02-25 06:54:01
84,portlandrentalhomes.com,appfolio,rentportlandhomesdarlaandrewsoffice.appfolio.com,high,homepage_fetch,1,http://www.portlandrentalhomes.com,,2026-02-01T20:50:08.723200,2026-02-25 06:54:01,2026-02-25 06:54:01
